work_id,title,description,genre_1,genre_2,genre_3,author,year,url,price
15,Under Armour TriBase Reign 6,TriBase outsole and Micro G cushioning keep feet planted during explosive lifts and agility drills.,Training,Gym,Micro G,Under Armour,2024,"https://underarmour.scene7.com/is/image/Underarmour/3027341-001_DETAIL4?rp=standard-30pad%7CpdpZoomDesktop&scl=0.50&fmt=jpg&qlt=85&resMode=sharp2&cache=on,on&bgc=f0f0f0&wid=1836&hei=1950&size=850,850",124
16,Nike LeBron XXI,"Mono-mesh upper, Zoom Turbo forefoot, and Cushlon 2.0 foam deliver plush support for powerful forwards.",Basketball,Court,Cushlon 2.0,Nike,2023,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/448f5b88-0f2e-4969-b382-8b61e3b92b94/lebron-xxi-freshwater-basketball-shoes-qskGkg.png",184
17,Adidas Harden Vol. 8,Hybrid Lightstrike cushioning and a wide forefoot platform cater to guards seeking smooth step-backs and lateral control.,Basketball,Court,Lightstrike,Adidas,2024,"https://assets.adidas.com/images/w_1880,f_auto,q_auto/fb1edca9a23e4c99b63f92dabffd1ad2_9366/IE2694_01_standard.jpg",147
18,Nike Mercurial Superfly 10 Elite FG,Flyknit 360 upper with Vaporposite+ locks the foot while a tri-star stud layout offers rapid acceleration on firm pitches.,Soccer,Pitch,Zoom Air,Nike,2024,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a5c54900-7b1d-4e7e-b228-fe648f75b8ed/ZM+SUPERFLY+10+ELITE+FG+NU1.png",271
19,Adidas Predator Elite FT,"Hybrid touch upper, Strikeskin fins, and Aerocage support enable precise control for playmakers on natural grass.",Soccer,Pitch,Hybrid Touch 2.0,Adidas,2024,https://cdn.sportshop.com/catalog/product/1500/1500/1/9/194560_1.jpg,239
20,ASICS Gel-Resolution 9,Dynawall stability and AHAR Plus rubber keep tennis players locked in during aggressive baseline cuts.,Tennis,Court,FlyteFoam,ASICS,2023,https://images.asics.com/is/image/asics/1041A330_404_SR_RT_GLB?$sfcc-product$,147
21,NikeCourt Air Zoom Vapor 11,"A full-length foot frame, dual Zoom Air units, and a cushioned midsole deliver explosive first steps for baseline grinders.",Tennis,Court,Zoom Air,Nike,2024,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b5754701-5b03-4d1b-bfb7-4e10eb84482a/nikecourt-air-zoom-vapor-11-hard-court-tennis-shoes-xkm4wk.png",156
22,Adidas Barricade 13,Energyrods in the midfoot and a TPU chassis stabilize aggressive slides while Adiwear rubber bites into hard courts.,Tennis,Court,Lightstrike,Adidas,2024,"https://assets.adidas.com/images/w_1880,f_auto,q_auto/a7653a4a16934aedaffd0cd93bc4f516_9366/IH2558_HM5.jpg",147
23,ASICS Court FF 3 Novak,"Mono-Sock construction, Twistruss stabilizers, and FlyteFoam Propel cushioning keep movers balanced through fierce rallies.",Tennis,Court,FlyteFoam Propel,ASICS,2024,https://images.asics.com/is/image/asics/1041A361_961_SR_RT_GLB?$sfcc-product$&fmt=jpg&wid=683&hei=512,161
24,New Balance Coco CG1,"FuelCell foam, Energy Arc carbon plates, and a FitWeave Lite upper tuned with Coco Gauff deliver responsive control.",Tennis,Court,FuelCell,New Balance,2024,https://img.alicdn.com/imgextra/i4/114746002/O1CN01dUr65Q1uCyEortJiq_!!4611686018427380370-0-item_pic.jpg_640x640q90.jpg,152
26,Babolat Jet Mach 3,Matryx EVO woven uppers and KPRS-X heel cushioning keep the shoe featherlight yet stable during relentless point construction.,Tennis,Court,KPRS-X,Babolat,2023,"https://media.babolat.com/image/upload/f_auto,q_auto,c_pad,w_3024,h_3024/t_michelin_logo/v1638792705/Product_Media/2022/Shoes/Tennis_Shoes/JET_MACH_3_M/30F22629-JET_MACH_3_AC_M-1005-2-Int.png",138
28,Yonex Power Cushion Eclipsion 5,Durable Guard Durable Skin uppers and Power Cushion+ inserts absorb impact for smooth transitions on hard courts.,Tennis,Court,Power Cushion+,Yonex,2024,https://www.yonex.com/media/catalog/product/a/l/all_shte5lgc_554-1.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,166
29,K-Swiss Hypercourt Supreme 2,"Surge 7.0 cushioning, a molded midfoot shank, and Dragguard rubber support persistent counterpunchers.",Tennis,Court,Surge 7.0,K-Swiss,2024,https://racquetguys.ca/cdn/shop/files/unnamed_6_c1017321-f764-4e6b-8d9a-11a70ab40070_1024x1024.jpg?v=1734558998,147
30,Lacoste AG-LT23 Ultra,"Pebax plate reinforcement, Helix woven uppers, and Goodyear rubber combine for premium speed with crocodile style.",Tennis,Court,Pebax,Lacoste,2023,https://imagena1.lacoste.com/dw/image/v2/AAUP_PRD/on/demandware.static/-/Sites-master/default/dwee26a73c/45SMA0013_1R5_06.jpg?imwidth=1920&impolicy=zoom,175
